Date,Price
14-Jun-22,127.02
15-Jun-22,124.96
16-Jun-22,125.78
17-Jun-22,119.22
20-Jun-22,118.25
21-Jun-22,118.51
22-Jun-22,115.54
23-Jun-22,114.5
24-Jun-22,117.36
27-Jun-22,119.69
28-Jun-22,122.21
29-Jun-22,120.8
30-Jun-22,119.78
01-Jul-22,119.21
04-Jul-22,121.8
05-Jul-22,110.49
06-Jul-22,108.54
07-Jul-22,113.4
08-Jul-22,113.95
11-Jul-22,114.85
12-Jul-22,106.98
13-Jul-22,107.17
14-Jul-22,107.74
15-Jul-22,112.26
18-Jul-22,117.27
19-Jul-22,114.96
20-Jul-22,115.86
21-Jul-22,112.81
22-Jul-22,106.77
25-Jul-22,108.23
26-Jul-22,107.32
27-Jul-22,109.64
28-Jul-22,109.68
29-Jul-22,111.51
01-Aug-22,106.09
02-Aug-22,106.51
03-Aug-22,101.82
04-Aug-22,97.99
05-Aug-22,100.31
08-Aug-22,103.46
09-Aug-22,103.81
10-Aug-22,105.06
11-Aug-22,107.19
12-Aug-22,103.7
15-Aug-22,98.25
16-Aug-22,95.36
17-Aug-22,97.22
18-Aug-22,96.35
19-Aug-22,96.45
22-Aug-22,95.06
23-Aug-22,99.49
24-Aug-22,99.87
25-Aug-22,98.81
26-Aug-22,101.13
30-Aug-22,99.34
31-Aug-22,96.55
01-Sep-22,92.24
02-Sep-22,93.09
05-Sep-22,94.22
06-Sep-22,91.43
07-Sep-22,86.83
08-Sep-22,87.99
09-Sep-22,91.68
12-Sep-22,93.45
13-Sep-22,92.04
14-Sep-22,92.83
15-Sep-22,89.28
16-Sep-22,89.43
20-Sep-22,89.62
21-Sep-22,89.86
22-Sep-22,90.4
23-Sep-22,84.29
26-Sep-22,82.55
27-Sep-22,85.97
28-Sep-22,89.55
29-Sep-22,89.41
30-Sep-22,88.9
03-Oct-22,90.68
04-Oct-22,93.74
05-Oct-22,94.35
06-Oct-22,95.65
07-Oct-22,98.88
10-Oct-22,97.13
11-Oct-22,95.17
12-Oct-22,93.44
13-Oct-22,95.16
14-Oct-22,92.22
17-Oct-22,91.04
18-Oct-22,89.46
19-Oct-22,91.34
20-Oct-22,91.52
21-Oct-22,91.82
24-Oct-22,91.57
25-Oct-22,91.76
26-Oct-22,92.93
27-Oct-22,94.17
28-Oct-22,94.64
31-Oct-22,93.3
01-Nov-22,95.12
02-Nov-22,96.07
03-Nov-22,95.29
04-Nov-22,99.53
07-Nov-22,99.87
08-Nov-22,96.85
09-Nov-22,93.05
10-Nov-22,94.25
11-Nov-22,96.37
14-Nov-22,93.59
